Company,Person,POC,Patient Data?,Consumer facing?,Description
AKASA,John Hallman,Brian,,,
Alector,,,No,No,
ALIS by Medtelligent,,,,,
AllStripes,,,,,
BenevolentAI,,,,,
Butterfly Network,,,,,
Calm,,,,,
CapitalRx,,,,,
CareRev,,,,,
Carrot Fertility,,,,,
Cedar,,,,,
Cerebral,,,,,
CertifyOS,,,,,
Click Therapeutics,,,,,
Cohere Health,,,,,
connectRN,,,,,
DearDoc,,,,,
Deep 6 AI,,,,,
Definitive Healthcare,,,,,
Doximity,,,,,
eClinical Solutions,,,,,
eHealth Technologies,,,,,
ESO,,,,,
firsthand Health,,,,,
Flatiron Health,,,,,
Freenome,,,,,
Garner Health,,,,,
GRAIL,,,,,
Evidation,,,,,
Grow Therapy,,,,,
Headspace,,,,,
Headway,,,,,
HealthTap,,,,,
Helix,,,,,
hims & hers,,,,,
Hinge Health,,,,,
Inato,,,,,
Included Health,,,,,
Inscopix,,,,,
IntelyCare,,,,,
iRhythm Technologies,,,,,
K Health,,,,,
Kyruus,,,,,
Lark,,,,,
Lumeon,,,,,
Maven Clinic,,,,,
Medallion,,,,,
Medely,,,,,
Medically Home,,,,,
MedTrans Go,,,,,
Modivcare,,,,,
Nomad Health,,,,,
Noyo,,,,,
NuvoAir,,,,,
Nymbl Science,,,,,
Octave,,,,,
Paige,,,,,
Parachute Health,,,,,
Parsley Health,,,,,
Path,,,,,
Pearl Health,,,,,
Pulse Analytics,,,,,
RealSelf,,,,,
Redesign Health,,,,,
Ro,,,,,
SonderMind,,,,,
Stellar Health,,,,,
Strata Decision Technology,,,,,
Strive Health,,,,,
Tebra,,,,,
Tempus,,,,,
Thyme Care,,,,,
TigerConnect,,,,,
TrialSpark,,,,,
Twin Health,,,,,
Verge Genomics,,,,,
Walgreens,,,,,
Waltz Health,,,,,
Wellframe,,,,,
Lyra Health,,,,,
Veeva,,,,,
Align Technology,,,,,
10X Genomics,,,,,
Glooko,,,,,
Komodo Health,,,,,
Meru Health,,,,,
Clipboard Health,,,,,
Embleema,,,,,
Nference,,,,,
Novoic,,,,,
Aunt Bertha,,,,,
Paige.ai,,,,,
Bedr,,,,,
Tomorrow Health,,,,,
Breathe99,,,,,
Dispatch Health,,,,,
TytoCare,,,,,
FOLX Health,,,,,
Devoted Health,,,,,
Insitro,,,,,
Carbon Health,,,,,
Medable,,,,,
Kriya Therapeutics,,,,,
BetterUp,,,,,
WorkIt Health,,,,,
Brightline,,,,,
Vori Health,,,,,
Circulo Health,,,,,
Covera Health,,,,,
Rightway,,,,,
Lyfegen,,,,,
Medely,,,,,
Trusted Health,,,,,
HealthSherpa,,,,,
Neurogene,,,,,
Fastic,,,,,
Cityblock Health,,,,,
HiberCell,,,,,
One Step Software,,,,,
Curology,,,,,
Found,,,,,
Caption Health,,,,,
Ophelia,,,,,
Bicycle health,,,,,
Capsule,,,,,
Alo Pharmacy,,,,,
NexHealth,,,,,
Memory Health,,,,,
Zus Health,,,,,
Synchron,,,,,
Ostro,,,,,
Fathom,,,,,
Viome,,,,,
Brightside,,,,,
AliveCor,,,,,
Abridge,,,,,
KRY,,,,,
Mirvie,,,,,
AcuityMD,,,,,
Turquoise Health,,,,,
Loop Health,,,,,
